,使用者ID,是否匿名,留言時間,是否隱藏,訂單編號,給星,留言內容,商品規格
20,16445556.0,1.0,1583740002.0,0.0,36602376464128.0,5.0,,['黑色S']
21,10191377.0,1.0,1583674543.0,0.0,36691786747868.0,4.0,,['藕紫色M']
22,12519845.0,1.0,1583640502.0,0.0,36699345293657.0,5.0,,['藕紫色M']
23,6106833.0,1.0,1583475105.0,0.0,35391546217033.0,5.0,,['黑色S']
24,3156706.0,1.0,1583239394.0,0.0,36237117082348.0,5.0,材質很讚～,['霧霾藍S']
25,9246351.0,1.0,1582765133.0,0.0,35615764717664.0,5.0,,['霧霾藍M']
26,2207888.0,1.0,1582707011.0,0.0,35626636255139.0,5.0,,['藕紫色M']
27,57699021.0,1.0,1582559993.0,0.0,35227765798189.0,5.0,,['藕紫色S']
28,189690683.0,1.0,1582507639.0,0.0,34582515904608.0,5.0,,['藕紫色M']
29,4987865.0,1.0,1582476040.0,0.0,34105773992053.0,4.0,164 57 34D整個太緊 拖下來好難脫 應該要買大一號,['桂皮棕M']
30,4540292.0,1.0,1582279948.0,0.0,35098495023957.0,5.0,,"['霧霾藍色L', '桂皮棕S']"
31,11153107.0,1.0,1582090981.0,0.0,34091771302991.0,5.0,,['銹紅M']
32,9963775.0,1.0,1582032619.0,0.0,34245922275695.0,5.0,,['黑色M']
33,5564950.0,1.0,1581988356.0,0.0,33745096661718.0,5.0,實品與照片一樣，穩定性也不錯！款式多樣化可以選擇自己喜歡的運動內衣提升運動意願：）,['藕紫色M']
34,3560327.0,1.0,1581880423.0,0.0,33638747821705.0,5.0,,"['桂皮棕M', '黑色M']"
35,176860.0,1.0,1581688895.0,0.0,34179546007828.0,5.0,深V美背非常推薦 包覆性 美背 都很滿意^n材質非常舒服 值得在回購,['桂皮棕M']
36,3622388.0,1.0,1581586056.0,0.0,33989558875795.0,5.0,,"['霧霾藍色L', '桂皮棕L']"
37,25140879.0,1.0,1581567183.0,0.0,34658295351309.0,4.0,包覆性好,['黑色M']
38,7691649.0,1.0,1581400547.0,0.0,33873656697745.0,5.0,,"['藕紫色S', '桂皮棕S']"
39,3338120.0,1.0,1581320487.0,0.0,34260122773868.0,5.0,,['桂皮棕M']
40,476843.0,1.0,1581314565.0,0.0,34177276540253.0,5.0,,['桂皮棕L']
41,536223.0,1.0,1580720865.0,0.0,33113144490405.0,5.0,,['霧霾藍M']
42,4477392.0,1.0,1580595503.0,0.0,32899349896227.0,5.0,,['藕紫色M']
43,26620953.0,1.0,1580522320.0,0.0,33138072741321.0,5.0,,"['霧霾藍S', '藕紫色S']"
44,1960840.0,1.0,1580481387.0,0.0,32960743550424.0,5.0,稍微有點緊，但質料很舒服，很滿意！,['藕紫色M']
45,15757990.0,1.0,1580381611.0,0.0,32772555485490.0,5.0,,['藕紫色S']
46,7700231.0,1.0,1580235612.0,0.0,32611163005191.0,5.0,,['霧霾藍M']
47,4578031.0,1.0,1580050902.0,0.0,33142495059947.0,5.0,,"['桂皮棕L', '黑色L']"
48,164296583.0,1.0,1579844657.0,0.0,32538951969931.0,5.0,,['藕紫色M']
49,16684873.0,1.0,1579667428.0,0.0,32148767193738.0,5.0,,"['霧霾藍M', '黑色M']"
50,4563360.0,1.0,1579663768.0,0.0,32942696854822.0,5.0,,"['藕紫色L', '桂皮棕L']"
51,5381123.0,1.0,1579026739.0,0.0,32151001119975.0,5.0,,['銹紅M']
52,13501065.0,1.0,1578830175.0,0.0,30745175985371.0,5.0,,['桂皮棕M']
53,37351159.0,1.0,1578593214.0,0.0,31334712025139.0,5.0,,['銹紅M']
54,13623945.0,1.0,1578555381.0,0.0,31123336180668.0,5.0,,['銹紅M']
55,3731794.0,1.0,1578327720.0,0.0,30630673868371.0,5.0,,['藕紫色S']
56,156221794.0,1.0,1578302931.0,0.0,2354051834.0,5.0,,['霧霾藍S']
57,7439840.0,1.0,1578167665.0,0.0,2278075547.0,5.0,,['桂皮棕M']
58,11543160.0,1.0,1577962386.0,0.0,2340304020.0,5.0,內襯可以拆但會激凸，80c穿還行 只是稍微壓胸 衣服味道有點重  洗一洗好多了,['霧霾藍色L']
59,4694956.0,1.0,1577934286.0,1.0,2331654932.0,5.0,很不錯!!物超所值！推薦購買！推薦!推薦!有機會再回購！！!,"['霧霾藍色L', '藕紫色L']"
60,3564719.0,1.0,1577868430.0,1.0,2330637247.0,5.0,163/55    L剛剛好^n讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚,['霧霾藍色L']
61,6121486.0,1.0,1577857695.0,0.0,30678148905735.0,5.0,已經買第三次了！品質真的都很好！重點是出貨速度超快！真的很推薦很喜歡！穿起來都很舒服又顯瘦,['黑色M']
62,463765.0,1.0,1577592118.0,0.0,2334078662.0,5.0,,['藕紫色M']
63,116216367.0,1.0,1577536451.0,0.0,2324109339.0,5.0,,"['銹紅L', '藕紫色L']"
64,52685226.0,1.0,1577496980.0,0.0,2350448016.0,5.0,,['藕紫色M']
65,2546246.0,1.0,1577260864.0,0.0,2348995658.0,5.0,胸墊較厚，爆乳🤣,"['銹紅M', '黑色L']"
66,5135316.0,1.0,1577204392.0,0.0,2313133972.0,4.0,有點小厚,['霧霾藍M']
67,11235931.0,1.0,1577006544.0,0.0,2293473169.0,5.0,,['桂皮棕M']
68,121083568.0,1.0,1576419406.0,0.0,2276469449.0,5.0,很好穿，材料很舒服，穿起來會爆乳哦，性感!^n顏色很好看，好穿搭^n運動的好配件，推推推!,['藕紫色M']
69,57375851.0,1.0,1576386291.0,0.0,2230894659.0,5.0,,['黑色M']
70,3093828.0,1.0,1576167930.0,0.0,2152096755.0,5.0,,['霧霾藍S']
71,17925059.0,1.0,1575873312.0,0.0,2183952159.0,5.0,,['藕紫色L']
72,5506090.0,1.0,1575795341.0,0.0,2220534697.0,5.0,,['霧霾藍S']
73,116216367.0,1.0,1575770076.0,0.0,2206715939.0,5.0,,['霧霾藍色L']
74,2573501.0,1.0,1575519266.0,0.0,2087284903.0,5.0,上瑜珈課時穿，感覺很舒服，胸部的側邊包覆性還不錯，有修身型的效果,['黑色M']
75,5222564.0,1.0,1575263240.0,0.0,2120831025.0,5.0,,['霧霾藍S']
76,16592801.0,1.0,1575257513.0,0.0,2132192196.0,5.0,,"['霧霾藍S', '黑色S']"
77,5893185.0,1.0,1574781423.0,0.0,2159140901.0,5.0,,['霧霾藍色L']
78,141905768.0,1.0,1574493511.0,0.0,2108030668.0,5.0,,['黑色S']
79,5932346.0,1.0,1574408237.0,0.0,2117451081.0,5.0,顏色很漂亮，是個不會太淺又有質感的霾霧藍。穿起來的背面真的很美！,['霧霾藍S']
80,28958293.0,1.0,1574402270.0,0.0,2113348657.0,5.0,,['藕紫色M']
81,9956495.0,1.0,1574354747.0,0.0,2058945323.0,5.0,,['藕紫色S']
82,4964256.0,1.0,1574339334.0,0.0,2151457918.0,5.0,滿緊的，但是穿起來很好伸展,['黑色L']
83,2115738.0,1.0,1574320260.0,0.0,2137858287.0,5.0,顏色又很溫柔 胸墊可以拆,['藕紫色S']
84,1589207.0,1.0,1574278283.0,0.0,2132216973.0,5.0,款式品質CP值超高，很集中，單穿也超好看，超讚的CP值！！！,['桂皮棕L']
